	celltypes	mucount
1	HSC	2
2	HSC	2
3	HSC	1
4	HSC	1
5	HSC	1
6	HSC	1
7	HSC	3
8	HSC	2
9	HSC	3
10	HSC	2
11	HSC	1
12	HSC	2
13	HSC	2
14	HSC	3
15	HSC	2
16	HSC	1
17	HSC	2
18	HSC	1
19	HSC	3
20	HSC	1
21	HSC	1
22	HSC	3
23	HSC	2
24	HSC	1
25	HSC	1
26	HSC	2
27	HSC	6
28	HSC	1
29	HSC	5
30	HSC	2
31	HSC	6
32	HSC	1
33	HSC	2
34	HSC	4
35	HSC	2
36	HSC	4
37	HSC	2
38	HSC	1
39	HSC	3
40	HSC	2
41	HSC	3
42	HSC	2
43	HSC	2
44	HSC	5
45	HSC	2
46	HSC	9
47	HSC	3
48	HSC	5
49	HSC	5
50	HSC	3
51	HSC	1
52	HSC	2
53	HSC	4
54	HSC	3
55	HSC	1
56	HSC	5
57	HSC	1
58	HSC	3
59	HSC	1
60	HSC	1
61	HSC	5
62	HSC	1
63	HSC	1
64	HSC	2
65	HSC	2
66	HSC	2
67	HSC	3
68	HSC	4
69	HSC	3
70	HSC	2
71	HSC	1
72	HSC	1
73	HSC	4
74	HSC	1
75	HSC	5
76	HSC	2
77	HSC	6
78	HSC	2
79	HSC	3
80	HSC	3
81	HSC	3
82	HSC	1
83	HSC	2
84	HSC	2
85	HSC	3
86	HSC	2
87	HSC	1
88	HSC	2
89	HSC	6
90	HSC	2
91	HSC	2
92	HSC	1
93	HSC	4
94	HSC	2
95	HSC	4
96	HSC	1
97	HSC	3
98	HSC	1
99	HSC	1
100	HSC	2
101	HSC	1
102	HSC	2
103	HSC	2
104	HSC	2
105	HSC	2
106	HSC	2
107	HSC	3
108	HSC	5
109	HSC	3
110	HSC	4
111	HSC	2
112	HSC	3
113	HSC	1
114	HSC	1
115	HSC	4
116	HSC	1
117	HSC	1
118	HSC	3
119	HSC	1
120	HSC	1
121	HSC	4
122	HSC	2
123	HSC	2
124	HSC	3
125	HSC	4
126	HSC	1
127	HSC	3
128	HSC	1
129	HSC	1
130	HSC	1
131	HSC	2
132	HSC	2
133	HSC	4
134	HSC	3
135	HSC	3
136	HSC	5
137	HSC	1
138	HSC	2
139	HSC	1
140	HSC	3
141	HSC	2
142	HSC	2
143	HSC	3
144	HSC	6
145	HSC	2
146	HSC	5
147	HSC	1
148	HSC	8
149	HSC	3
150	HSC	5
151	HSC	1
152	HSC	5
153	HSC	2
154	HSC	5
155	HSC	1
156	HSC	1
157	HSC	2
158	HSC	2
159	HSC	2
160	HSC	2
161	HSC	2
162	HSC	2
163	HSC	3
164	HSC	1
165	HSC	1
166	HSC	2
167	HSC	1
168	HSC	1
169	HSC	1
170	HSC	1
171	HSC	2
172	HSC	2
173	HSC	1
174	HSC	2
175	HSC	1
176	HSC	3
177	HSC	3
178	HSC	5
179	HSC	2
180	HSC	2
181	HSC	1
182	HSC	1
183	HSC	2
184	HSC	1
185	HSC	3
186	HSC	3
187	HSC	3
188	HSC	1
189	HSC	2
190	HSC	1
191	HSC	2
192	HSC	2
193	HSC	1
194	HSC	3
195	HSC	4
196	HSC	2
197	HSC	1
198	HSC	4
199	HSC	6
200	HSC	2
201	HSC	2
202	HSC	5
203	HSC	1
204	HSC	1
205	HSC	4
206	HSC	1
207	HSC	4
208	HSC	5
209	HSC	2
210	HSC	1
211	HSC	2
212	HSC	1
213	HSC	1
214	HSC	4
215	HSC	3
216	HSC	4
217	HSC	1
218	HSC	1
219	HSC	2
220	HSC	1
221	HSC	1
222	HSC	3
223	HSC	2
224	HSC	1
225	HSC	2
226	HSC	3
227	HSC	2
228	HSC	4
229	HSC	5
230	HSC	1
231	HSC	2
232	HSC	1
233	HSC	3
234	HSC	4
235	HSC	3
236	HSC	1
237	HSC	1
238	HSC	2
239	HSC	3
240	HSC	1
241	HSC	3
242	HSC	2
243	HSC	4
244	HSC	2
