celltype	flie1	file2	sample_num	file1_with_variation	file2_with_variation	variation_num	no_variation_num
CLP	179	391	570	152	124	276	294
CMP	175	371	546	189	143	332	214
Early.baso	104	94	198	36	42	78	120
Early.ery	286	392	678	206	182	388	290
GMP	315	358	673	244	247	491	182
HSC	684	769	1453	546	527	1073	380
Late.ery	862	1030	1892	820	696	1516	376
LMPP	537	564	1101	423	436	859	242
MDP	654	733	1387	518	529	1047	340
pDC	246	303	549	125	111	236	313
preB	60	55	115	16	19	35	80
proB	206	204	410	66	59	125	285
CD4mem	1378	1400	2778	622	764	1386	1392
CD4naive	354	308	662	104	127	231	431
CD8mem	924	878	1802	491	491	982	820
CD8naive	280	288	568	106	86	192	376
CD14mono	1047	1071	2118	778	805	1583	535
CD16mono	129	125	254	54	45	99	155
memoryB	164	159	323	66	77	143	180
naiveB	518	488	1006	299	348	647	359
NK	1935	1939	3874	486	628	1114	2760
plasma	194	170	364	101	136	237	127
