name	a	b	c	d	e	f
3643	30	0	72	0	0.0	0.0
9730	12	0	27	1	0.0	0.0357
12736	30	0	95	1	0.0	0.0104
1362	6	1	31	0	0.1429	0.0
3531	8	1	35	0	0.1111	0.0
12101	17	0	47	1	0.0	0.0208
3316	13	0	76	1	0.0	0.013
13722	26	0	49	2	0.0	0.0392
2300	6	1	10	0	0.1429	0.0
1386	20	0	40	0	0.0	0.0
15333	13	0	50	1	0.0	0.0196
879	8	2	37	2	0.2	0.0513
749	19	0	29	2	0.0	0.0645
3239	40	1	135	1	0.0244	0.0074
13322	6	1	24	1	0.1429	0.04
777	23	0	36	2	0.0	0.0526
15024	28	0	92	0	0.0	0.0
2371	13	0	24	0	0.0	0.0
796	12	3	34	3	0.2	0.0811
12753	13	1	36	1	0.0714	0.027
992	22	1	38	0	0.0435	0.0
14370	10	1	44	0	0.0909	0.0
15924	11	1	45	2	0.0833	0.0426
10237	11	0	26	2	0.0	0.0714
4831	8	0	30	0	0.0	0.0
2171	14	0	39	0	0.0	0.0
15916	5	1	30	2	0.1667	0.0625
9804	19	0	32	0	0.0	0.0
11973	11	2	25	1	0.1538	0.0385
12851	6	0	32	0	0.0	0.0
12757	16	1	39	1	0.0588	0.025
3003	24	1	50	5	0.04	0.0909
920	5	1	11	0	0.1667	0.0
15148	21	0	44	0	0.0	0.0
373	20	0	66	3	0.0	0.0435
10407	7	0	23	2	0.0	0.08
10640	11	0	34	0	0.0	0.0
6647	16	0	28	0	0.0	0.0
10663	10	0	30	0	0.0	0.0
9918	49	1	161	0	0.02	0.0
13369	20	0	67	4	0.0	0.0563
12008	6	2	17	2	0.25	0.1053
16093	6	2	20	3	0.25	0.1304
16065	13	0	34	4	0.0	0.1053
15923	7	0	36	2	0.0	0.0526
2007	16	0	52	1	0.0	0.0189
2008	11	0	31	0	0.0	0.0
3091	6	1	32	2	0.1429	0.0588
14071	17	1	43	1	0.0556	0.0227
6460	31	0	72	0	0.0	0.0
10230	6	1	15	1	0.1429	0.0625
6717	6	1	7	1	0.1429	0.125
13952	14	0	59	0	0.0	0.0
16527	6	1	19	0	0.1429	0.0
2269	7	1	33	4	0.125	0.1081
12773	11	0	19	2	0.0	0.0952
586	8	0	15	2	0.0	0.1176
9964	13	0	30	0	0.0	0.0
1336	8	1	37	1	0.1111	0.0263
16293	9	0	20	1	0.0	0.0476
3917	62	0	156	0	0.0	0.0
2553	11	0	45	1	0.0	0.0217
11337	8	0	18	0	0.0	0.0
12601	10	0	29	0	0.0	0.0
2636	15	3	37	1	0.1667	0.0263
6618	11	0	41	1	0.0	0.0238
2004	7	1	15	0	0.125	0.0
1401	11	1	20	1	0.0833	0.0476
15366	17	2	48	3	0.1053	0.0588
16256	26	1	59	1	0.037	0.0167
13201	31	0	104	0	0.0	0.0
1277	5	1	34	4	0.1667	0.1053
6583	16	0	25	0	0.0	0.0
14502	6	0	15	0	0.0	0.0
11534	15	1	52	0	0.0625	0.0
2586	16	0	43	1	0.0	0.0227
374	12	1	33	0	0.0769	0.0
3094	14	0	35	0	0.0	0.0
1273	24	0	64	0	0.0	0.0
1260	17	0	28	0	0.0	0.0
611	8	0	22	1	0.0	0.0435
14280	17	0	42	1	0.0	0.0233
9856	18	0	49	0	0.0	0.0
3380	12	0	33	0	0.0	0.0
15242	11	0	26	1	0.0	0.037
9145	12	0	28	1	0.0	0.0345
6580	6	1	24	1	0.1429	0.04
2623	33	9	108	10	0.2143	0.0847
14518	13	3	25	8	0.1875	0.2424
4855	12	1	42	0	0.0769	0.0
15029	11	0	39	0	0.0	0.0
10208	17	0	56	0	0.0	0.0
9343	10	2	29	2	0.1667	0.0645
10290	9	2	29	0	0.1818	0.0
15355	15	0	38	0	0.0	0.0
8160	14	0	36	1	0.0	0.027
1415	13	1	36	2	0.0714	0.0526
13916	6	0	23	0	0.0	0.0
2585	23	0	80	0	0.0	0.0
14698	12	0	34	0	0.0	0.0
533	7	0	22	0	0.0	0.0
9723	7	0	13	1	0.0	0.0714
15498	7	0	23	1	0.0	0.0417
9753	15	0	41	0	0.0	0.0
11318	5	5	14	4	0.5	0.2222
15734	44	0	118	1	0.0	0.0084
15880	11	0	19	1	0.0	0.05
15758	10	1	34	1	0.0909	0.0286
14424	13	0	44	0	0.0	0.0
12122	12	0	46	1	0.0	0.0213
13471	15	1	41	1	0.0625	0.0238
3634	20	0	58	0	0.0	0.0
2992	14	0	25	2	0.0	0.0741
12172	12	0	36	1	0.0	0.027
9966	7	1	8	1	0.125	0.1111
13269	13	0	44	1	0.0	0.0222
10914	22	0	73	0	0.0	0.0
12457	41	2	101	0	0.0465	0.0
6277	7	0	18	0	0.0	0.0
13499	5	1	16	0	0.1667	0.0
13401	6	1	23	1	0.1429	0.0417
14410	8	4	33	14	0.3333	0.2979
3139	6	0	24	1	0.0	0.04
14831	22	0	70	2	0.0	0.0278
14494	8	1	21	0	0.1111	0.0
15350	13	0	36	1	0.0	0.027
13153	6	1	26	1	0.1429	0.037
11087	11	1	27	1	0.0833	0.0357
12142	13	0	31	0	0.0	0.0
3883	14	0	37	0	0.0	0.0
3758	15	0	33	0	0.0	0.0
3243	18	1	51	0	0.0526	0.0
3816	16	0	21	1	0.0	0.0455
11253	7	0	21	1	0.0	0.0455
2454	9	0	14	0	0.0	0.0
15314	36	0	67	0	0.0	0.0
13366	18	0	45	0	0.0	0.0
204	15	6	30	13	0.2857	0.3023
15615	10	0	29	0	0.0	0.0
15261	15	0	29	0	0.0	0.0
622	10	1	20	3	0.0909	0.1304
2648	12	0	36	0	0.0	0.0
720	11	0	29	0	0.0	0.0
15806	8	1	35	1	0.1111	0.0278
9139	18	0	43	0	0.0	0.0
12128	12	1	32	5	0.0769	0.1351
12315	7	0	27	2	0.0	0.069
3242	25	3	58	7	0.1071	0.1077
1344	10	0	42	0	0.0	0.0
16519	35	0	79	0	0.0	0.0
227	12	2	40	1	0.1429	0.0244
4055	9	0	27	0	0.0	0.0
14279	26	0	44	0	0.0	0.0
10677	10	0	49	0	0.0	0.0
11825	6	0	24	0	0.0	0.0
13063	10	0	17	1	0.0	0.0556
13327	22	0	60	2	0.0	0.0323
15339	18	1	61	1	0.0526	0.0161
15237	7	0	27	0	0.0	0.0
13025	15	0	36	1	0.0	0.027
13159	6	0	24	0	0.0	0.0
13019	18	0	33	0	0.0	0.0
2592	8	0	21	2	0.0	0.087
15217	8	0	29	0	0.0	0.0
3047	9	0	42	1	0.0	0.0233
3542	19	0	44	0	0.0	0.0
9181	10	0	26	1	0.0	0.037
13638	6	0	25	0	0.0	0.0
15831	8	0	25	2	0.0	0.0741
2833	15	0	81	6	0.0	0.069
9789	17	0	70	0	0.0	0.0
2542	23	2	99	1	0.08	0.01
8158	13	1	50	1	0.0714	0.0196
15246	8	0	38	0	0.0	0.0
3209	34	24	101	45	0.4138	0.3082
3102	14	0	28	0	0.0	0.0
12125	22	0	43	0	0.0	0.0
13106	10	0	16	1	0.0	0.0588
13880	9	1	22	1	0.1	0.0435
6260	11	0	27	0	0.0	0.0
15670	12	0	41	1	0.0	0.0238
16362	17	0	61	1	0.0	0.0161
11228	12	0	51	1	0.0	0.0192
3796	15	0	29	3	0.0	0.0938
3250	25	1	58	1	0.0385	0.0169
8723	8	0	22	0	0.0	0.0
15240	8	2	25	0	0.2	0.0
9156	11	0	35	1	0.0	0.0278
8537	10	0	26	0	0.0	0.0
2554	17	0	31	0	0.0	0.0
11642	15	1	36	1	0.0625	0.027
14945	42	3	131	1	0.0667	0.0076
9137	6	0	20	0	0.0	0.0
902	12	1	17	2	0.0769	0.1053
14560	24	1	63	0	0.04	0.0
9294	15	1	42	0	0.0625	0.0
11790	20	0	83	0	0.0	0.0
6289	12	0	34	1	0.0	0.0286
3922	18	0	51	1	0.0	0.0192
1538	7	4	31	6	0.3636	0.1622
13827	10	0	36	2	0.0	0.0526
11952	6	0	17	0	0.0	0.0
2333	22	0	89	1	0.0	0.0111
15717	7	0	31	2	0.0	0.0606
9932	27	0	92	1	0.0	0.0108
15218	15	1	48	0	0.0625	0.0
13194	14	1	42	0	0.0667	0.0
14378	18	0	53	0	0.0	0.0
3653	15	1	28	0	0.0625	0.0
11461	9	0	33	0	0.0	0.0
15129	16	0	44	0	0.0	0.0
13976	8	1	32	0	0.1111	0.0
12775	21	1	91	1	0.0455	0.0109
3054	8	1	24	1	0.1111	0.04
2998	10	0	33	0	0.0	0.0
6037	14	0	71	0	0.0	0.0
2814	23	2	31	1	0.08	0.0313
709	9	0	21	1	0.0	0.0455
12685	15	0	30	1	0.0	0.0323
5795	6	1	22	0	0.1429	0.0
14933	35	0	98	0	0.0	0.0
6363	7	0	17	1	0.0	0.0556
2573	17	0	61	2	0.0	0.0317
13726	54	0	115	0	0.0	0.0
9454	12	0	25	0	0.0	0.0
15500	15	0	37	0	0.0	0.0
4954	12	0	33	1	0.0	0.0294
15051	16	0	48	1	0.0	0.0204
15356	12	0	28	1	0.0	0.0345
16214	9	0	23	1	0.0	0.0417
12771	12	0	35	2	0.0	0.0541
15093	21	0	47	1	0.0	0.0208
13393	9	1	25	0	0.1	0.0
2473	12	2	27	1	0.1429	0.0357
2698	14	0	25	1	0.0	0.0385
1255	7	0	36	1	0.0	0.027
6248	25	0	70	1	0.0	0.0141
12877	17	0	47	0	0.0	0.0
14307	13	0	36	0	0.0	0.0
901	16	0	63	1	0.0	0.0156
15571	20	1	33	0	0.0476	0.0
16291	7	0	18	0	0.0	0.0
6255	10	0	21	0	0.0	0.0
14874	27	1	67	1	0.0357	0.0147
6690	16	1	58	2	0.0588	0.0333
13681	15	4	32	4	0.2105	0.1111
16124	15	1	32	9	0.0625	0.2195
12060	14	0	34	0	0.0	0.0
2407	6	0	25	1	0.0	0.0385
3736	10	0	19	0	0.0	0.0
13154	13	0	36	2	0.0	0.0526
2075	23	1	67	0	0.0417	0.0
1418	8	0	22	0	0.0	0.0
6276	9	0	22	1	0.0	0.0435
14093	19	0	36	0	0.0	0.0
15596	34	0	111	0	0.0	0.0
12681	6	1	27	0	0.1429	0.0
14973	17	0	37	1	0.0	0.0263
12699	16	0	27	1	0.0	0.0357
15323	6	1	26	0	0.1429	0.0
15071	19	0	35	0	0.0	0.0
15854	12	2	51	5	0.1429	0.0893
10361	9	0	25	0	0.0	0.0
2528	7	1	23	1	0.125	0.0417
14162	12	0	35	0	0.0	0.0
12835	17	0	37	0	0.0	0.0
3085	10	0	39	1	0.0	0.025
11900	10	0	14	1	0.0	0.0667
15784	23	1	71	0	0.0417	0.0
12868	23	0	53	1	0.0	0.0185
6485	14	1	51	0	0.0667	0.0
14641	7	0	34	1	0.0	0.0286
3098	15	0	41	1	0.0	0.0238
2452	14	1	41	1	0.0667	0.0238
1410	15	0	14	1	0.0	0.0667
1983	8	1	29	0	0.1111	0.0
14963	34	0	88	1	0.0	0.0112
16249	16	0	45	0	0.0	0.0
1380	10	0	26	0	0.0	0.0
7704	18	0	30	1	0.0	0.0323
2088	12	0	25	0	0.0	0.0
14122	14	0	23	0	0.0	0.0
13810	35	1	96	1	0.0278	0.0103
15021	10	0	28	1	0.0	0.0345
12818	22	0	52	1	0.0	0.0189
2211	17	0	59	0	0.0	0.0
733	9	0	16	0	0.0	0.0
12476	13	1	25	1	0.0714	0.0385
11535	12	0	31	2	0.0	0.0606
12800	13	0	59	2	0.0	0.0328
3014	17	2	44	3	0.1053	0.0638
3628	26	0	63	0	0.0	0.0
10602	6	1	20	0	0.1429	0.0
2819	26	0	84	1	0.0	0.0118
2628	12	2	43	3	0.1429	0.0652
10176	24	0	75	2	0.0	0.026
15761	24	0	40	0	0.0	0.0
6620	11	1	25	1	0.0833	0.0385
9307	11	0	31	0	0.0	0.0
15492	9	0	43	0	0.0	0.0
11496	15	0	46	0	0.0	0.0
2916	18	0	55	3	0.0	0.0517
12770	26	0	84	0	0.0	0.0
1391	8	0	32	1	0.0	0.0303
10579	13	0	18	0	0.0	0.0
2931	15	0	33	0	0.0	0.0
14285	12	0	37	1	0.0	0.0263
6040	10	0	21	0	0.0	0.0
3036	19	1	48	0	0.05	0.0
12321	14	0	29	0	0.0	0.0
6951	27	0	65	0	0.0	0.0
13708	21	0	58	1	0.0	0.0169
13710	28	1	91	1	0.0345	0.0109
14849	17	0	51	0	0.0	0.0
102	12	0	43	0	0.0	0.0
13198	21	0	76	1	0.0	0.013
14900	11	0	20	1	0.0	0.0476
16218	12	1	28	2	0.0769	0.0667
10731	6	0	16	0	0.0	0.0
14927	6	0	51	0	0.0	0.0
3244	52	2	140	8	0.037	0.0541
12733	18	0	37	1	0.0	0.0263
3264	11	1	41	1	0.0833	0.0238
11438	8	0	30	0	0.0	0.0
14048	11	0	18	1	0.0	0.0526
