name	aa	bb	cc	dd	ee	ff
2960	14	0	29	1	0.0	0.0333
5316	8	1	30	0	0.1111	0.0
12736	30	0	69	1	0.0	0.0143
3167	121	1	284	3	0.0082	0.0105
12101	17	0	36	0	0.0	0.0
3316	13	0	48	1	0.0	0.0204
13722	26	0	47	2	0.0	0.0408
2300	6	1	16	7	0.1429	0.3043
879	8	2	31	6	0.2	0.1622
12797	20	1	47	0	0.0476	0.0
13322	6	1	19	2	0.1429	0.0952
777	23	0	44	2	0.0	0.0435
9811	16	0	39	1	0.0	0.025
15024	28	0	76	1	0.0	0.013
2371	13	0	21	1	0.0	0.0455
12753	13	1	19	1	0.0714	0.05
4849	21	1	42	1	0.0455	0.0233
7683	8	0	29	0	0.0	0.0
15924	11	1	27	0	0.0833	0.0
13093	5	1	13	3	0.1667	0.1875
15690	15	0	40	1	0.0	0.0244
3850	13	0	20	4	0.0	0.1667
10237	11	0	24	0	0.0	0.0
4831	8	0	31	3	0.0	0.0882
13121	23	0	48	3	0.0	0.0588
14869	14	0	51	1	0.0	0.0192
3003	24	1	53	5	0.04	0.0862
16269	11	1	27	2	0.0833	0.069
920	5	1	13	0	0.1667	0.0
15148	21	0	46	0	0.0	0.0
373	20	0	67	0	0.0	0.0
9837	8	0	34	0	0.0	0.0
10407	7	0	19	0	0.0	0.0
3412	10	1	23	1	0.0909	0.0417
10640	11	0	26	0	0.0	0.0
11571	8	0	27	0	0.0	0.0
15387	8	1	23	1	0.1111	0.0417
9918	49	1	157	2	0.02	0.0126
13369	20	0	49	5	0.0	0.0926
2377	13	1	33	2	0.0714	0.0571
12008	6	2	15	4	0.25	0.2105
16093	6	2	31	2	0.25	0.0606
16065	13	0	33	0	0.0	0.0
12009	23	1	38	6	0.0417	0.1364
2680	20	0	51	3	0.0	0.0556
13018	6	0	11	2	0.0	0.1538
2008	11	0	30	1	0.0	0.0323
1750	12	1	35	2	0.0769	0.0541
3091	6	1	21	1	0.1429	0.0455
12183	6	0	22	0	0.0	0.0
7678	9	1	36	1	0.1	0.027
13804	10	0	37	2	0.0	0.0513
10230	6	1	7	2	0.1429	0.2222
8087	8	0	16	1	0.0	0.0588
15221	9	1	21	0	0.1	0.0
13952	14	0	53	0	0.0	0.0
2269	7	1	36	2	0.125	0.0526
12773	11	0	15	1	0.0	0.0625
1336	8	1	19	3	0.1111	0.1364
5329	12	1	24	1	0.0769	0.04
2537	31	0	63	2	0.0	0.0308
16293	9	0	19	6	0.0	0.24
11579	9	0	44	0	0.0	0.0
3917	62	0	162	1	0.0	0.0061
2553	11	0	23	1	0.0	0.0417
11337	8	0	18	0	0.0	0.0
2636	15	3	24	0	0.1667	0
10310	26	1	72	2	0.037	0.027
13970	20	0	52	1	0.0	0.0189
6618	11	0	44	0	0.0	0.0
2004	7	1	15	1	0.125	0.0625
13585	13	0	42	3	0.0	0.0667
15366	17	2	40	1	0.1053	0.0244
16235	20	0	49	3	0.0	0.0577
12352	8	0	17	0	0.0	0.0
2002	10	1	27	2	0.0909	0.069
7852	16	0	20	0	0.0	0.0
6583	16	0	21	1	0.0	0.0455
11534	15	1	32	2	0.0625	0.0588
15967	6	0	15	1	0.0	0.0625
1273	24	0	54	0	0.0	0.0
12448	15	0	25	1	0.0	0.0385
12293	14	0	24	0	0.0	0.0
6239	25	1	88	1	0.0385	0.0112
9856	18	0	29	3	0.0	0.0938
3380	12	0	39	1	0.0	0.025
15242	11	0	15	1	0.0	0.0625
9145	12	0	27	1	0.0	0.0357
9327	11	1	28	0	0.0833	0.0
11711	22	0	35	13	0.0	0.2708
10675	18	2	52	0	0.1	0.0
2977	10	0	8	2	0.0	0.2
15447	16	1	47	1	0.0588	0.0208
2623	33	9	49	11	0.2143	0.1833
14518	13	3	17	1	0.1875	0.0556
10644	13	0	38	2	0.0	0.05
4855	12	1	35	1	0.0769	0.0278
13333	13	1	33	2	0.0714	0.0571
1836	12	1	24	2	0.0769	0.0769
10994	17	0	58	3	0.0	0.0492
10170	15	0	44	0	0.0	0.0
718	14	0	35	0	0.0	0.0
9343	10	2	18	2	0.1667	0.1
10290	9	2	27	1	0.1818	0.0357
15355	15	0	35	3	0.0	0.0789
11561	8	0	11	0	0.0	0.0
1415	13	1	31	1	0.0714	0.0313
13916	6	0	22	1	0.0	0.0435
13069	8	0	25	1	0.0	0.0385
2585	23	0	60	2	0.0	0.0323
13373	21	0	39	1	0.0	0.025
14698	12	0	27	2	0.0	0.069
12684	9	1	18	0	0.1	0.0
15498	7	0	12	1	0.0	0.0769
9753	15	0	44	0	0.0	0.0
14120	25	0	41	2	0.0	0.0465
15758	10	1	18	3	0.0909	0.1429
5031	10	1	10	1	0.0909	0.0909
15974	11	1	18	1	0.0833	0.0526
9083	16	0	24	2	0.0	0.0769
2924	17	0	23	1	0.0	0.0417
13471	15	1	30	0	0.0625	0.0
3634	20	0	54	1	0.0	0.0182
2992	14	0	28	3	0.0	0.0968
13269	13	0	33	2	0.0	0.0571
12457	41	2	86	3	0.0465	0.0337
14410	8	4	13	4	0.3333	0.2353
6367	13	0	21	2	0.0	0.087
3146	9	0	33	2	0.0	0.0571
1288	7	2	14	2	0.2222	0.125
14831	22	0	60	2	0.0	0.0323
14494	8	1	23	1	0.1111	0.0417
15350	13	0	36	1	0.0	0.027
11087	11	1	26	1	0.0833	0.037
5032	6	0	12	1	0.0	0.0769
3758	15	0	28	0	0.0	0.0
8118	20	0	29	0	0.0	0.0
3695	8	0	31	1	0.0	0.0313
12622	16	2	36	0	0.1111	0.0
7649	12	0	19	0	0.0	0.0
3243	18	1	47	0	0.0526	0.0
15908	7	1	23	1	0.125	0.0417
14859	8	1	27	0	0.1111	0.0
16111	10	1	56	2	0.0909	0.0345
12758	26	0	45	2	0.0	0.0426
15314	36	0	61	0	0.0	0.0
204	15	6	28	12	0.2857	0.3
14864	38	0	88	0	0.0	0.0
15261	15	0	22	2	0.0	0.0833
622	10	1	14	1	0.0909	0.0667
2648	12	0	29	0	0.0	0.0
720	11	0	29	1	0.0	0.0333
3433	21	0	48	1	0.0	0.0204
2622	8	0	21	2	0.0	0.087
3670	18	0	55	1	0.0	0.0179
15806	8	1	30	4	0.1111	0.1176
2634	14	0	20	1	0.0	0.0476
12128	12	1	17	1	0.0769	0.0556
12315	7	0	26	1	0.0	0.037
3242	25	3	44	4	0.1071	0.0833
1344	10	0	30	19	0.0	0.3878
16519	35	0	54	4	0.0	0.069
227	12	2	41	1	0.1429	0.0238
16234	10	0	29	2	0.0	0.0645
10677	10	0	38	3	0.0	0.0732
15375	5	1	23	0	0.1667	0.0
13063	10	0	28	2	0.0	0.0667
8090	7	0	16	1	0.0	0.0588
13327	22	0	31	2	0.0	0.0606
15339	18	1	46	1	0.0526	0.0213
58	12	0	29	0	0.0	0.0
13557	11	0	40	0	0.0	0.0
7323	13	0	8	6	0.0	0.4286
15125	10	0	21	2	0.0	0.087
2592	8	0	14	2	0.0	0.125
15217	8	0	28	0	0.0	0.0
3083	18	0	24	2	0.0	0.0769
10668	34	0	102	0	0.0	0.0
6687	15	0	35	0	0.0	0.0
7781	6	0	11	2	0.0	0.1538
15831	8	0	24	1	0.0	0.04
2833	15	0	50	4	0.0	0.0741
2645	6	1	17	0	0.1429	0.0
2646	10	1	8	8	0.0909	0.5
15777	7	0	18	2	0.0	0.1
15139	17	0	59	0	0.0	0.0
9411	7	0	11	0	0.0	0.0
15930	10	0	13	3	0.0	0.1875
3209	34	24	65	1	0.4138	0.0152
5350	13	0	47	0	0.0	0.0
16266	8	0	26	13	0.0	0.3333
12125	22	0	36	1	0.0	0.027
13106	10	0	11	0	0.0	0.0
15453	7	0	28	0	0.0	0.0
13880	9	1	21	0	0.1	0.0
6260	11	0	26	0	0.0	0.0
15670	12	0	40	6	0.0	0.1304
2270	14	0	50	2	0.0	0.0385
16362	17	0	39	1	0.0	0.025
11228	12	0	49	0	0.0	0.0
3796	15	0	24	0	0.0	0.0
3250	25	1	54	1	0.0385	0.0182
14945	42	3	121	3	0.0667	0.0242
11634	12	1	31	2	0.0769	0.0606
902	12	1	25	0	0.0769	0.0
14560	24	1	58	15	0.04	0.2055
2702	17	1	61	1	0.0556	0.0161
16537	5	1	18	1	0.1667	0.0526
13263	10	1	19	1	0.0909	0.05
6289	12	0	23	1	0.0	0.0417
3922	18	0	42	1	0.0	0.0233
1778	9	1	19	1	0.1	0.05
1538	7	4	31	6	0.3636	0.1622
2647	13	0	23	0	0.0	0.0
2805	11	0	26	1	0.0	0.037
11043	13	0	27	0	0.0	0.0
14840	14	1	38	1	0.0667	0.0256
2333	22	0	80	6	0.0	0.0698
1300	12	1	20	0	0.0769	0.0
9932	27	0	76	4	0.0	0.05
15905	13	0	25	0	0.0	0.0
2571	12	1	27	2	0.0769	0.069
15218	15	1	39	2	0.0625	0.0488
12631	15	0	36	0	0.0	0.0
15437	7	0	29	0	0.0	0.0
11441	18	0	30	0	0.0	0.0
12696	11	0	23	2	0.0	0.08
13194	14	1	40	1	0.0667	0.0244
13931	19	0	45	0	0.0	0.0
3653	15	1	33	4	0.0625	0.1081
3421	12	0	37	1	0.0	0.0263
15129	16	0	33	1	0.0	0.0294
13976	8	1	31	1	0.1111	0.0313
14798	7	0	34	2	0.0	0.0556
14934	12	0	35	0	0.0	0.0
12775	21	1	80	2	0.0455	0.0244
2721	10	0	14	0	0.0	0.0
2998	10	0	35	2	0.0	0.0541
6037	14	0	51	1	0.0	0.0192
3773	8	0	24	1	0.0	0.04
2814	23	2	41	2	0.08	0.0465
709	9	0	17	7	0.0	0.2917
5795	6	1	19	0	0.1429	0.0
8251	6	0	17	3	0.0	0.15
6363	7	0	9	2	0.0	0.1818
2573	17	0	41	2	0.0	0.0465
13726	54	0	111	1	0.0	0.0089
15500	15	0	33	4	0.0	0.1081
4954	12	0	36	2	0.0	0.0526
10274	17	0	26	2	0.0	0.0714
15051	16	0	49	2	0.0	0.0392
15976	8	0	37	1	0.0	0.0263
15578	39	0	54	0	0.0	0.0
13309	12	0	21	3	0.0	0.125
12771	12	0	28	1	0.0	0.0345
15093	21	0	38	0	0.0	0.0
2778	15	1	47	6	0.0625	0.1132
12877	17	0	38	1	0.0	0.0256
9758	25	0	43	2	0.0	0.0444
14307	13	0	29	2	0.0	0.0645
2163	13	0	28	1	0.0	0.0345
9906	16	1	49	1	0.0588	0.02
14033	9	0	16	2	0.0	0.1111
901	16	0	43	0	0.0	0.0
13175	15	1	21	2	0.0625	0.087
8928	8	0	15	2	0.0	0.1176
6259	15	0	38	0	0.0	0.0
14985	34	1	76	6	0.0286	0.0732
16291	7	0	13	3	0.0	0.1875
14874	27	1	62	1	0.0357	0.0159
6690	16	1	60	0	0.0588	0.0
16124	15	1	37	3	0.0625	0.075
12060	14	0	22	0	0.0	0.0
2407	6	0	25	0	0.0	0.0
11432	9	0	25	2	0.0	0.0741
14841	13	0	29	0	0.0	0.0
3736	10	0	17	0	0.0	0.0
14858	13	1	34	3	0.0714	0.0811
2075	23	1	67	2	0.0417	0.029
5013	16	0	26	2	0.0	0.0714
12913	20	0	34	1	0.0	0.0286
14093	19	0	32	0	0.0	0.0
15557	18	0	42	2	0.0	0.0455
6520	7	0	25	1	0.0	0.0385
